startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Timeline title,,,,,,title,,,
1843,,,,1843,,,,,The founding of Sociedad Gastronómica ,"The gastronomic tradition of the Basque Country goes beyond five-fork restaurants or sophisticated signature dishes, which are just the spearhead of that deep-rooted 'ritual' that, for the Basques, means preparing a dish and sitting down at the table to enjoy it without haste. This is where the gastronomic societies, or 'txokos', authentic temples of good food, come into play.
It is precisely in its capital, Donostia-San Sebastián, where the first gastronomic society was born: 'La Fraternal', founded in 1843. The rise of industrialization and the transfer of population from the countryside to the city led to the emergence of these spaces, which took over from the cider houses in rural areas as meeting places and urban enjoyment around the table.","http://www.sociedadesgastronomicas.com/articulo.php?id=11 https://www.bizkaiatalent.eus/pais-vasco-te-espera/senas-de-identidad/sociedades-gastronomicas-templos/#:~:text=Es%20precisamente%20en%20su%20capital,Fraternal'%2C%20fundada%20en%201843. ",,,,,,,
1948,,,,,,,,,Gildas: the little-known origin of the most popular banderilla in Spain,"A bar in San Sebastián, Vallés, is attributed, apparently with good reason, the creation in 1948 of the Gildas: olives, chilli peppers and anchovies, a typical basque pintxo and the one that started it all. They are the most popular banderillas in Spain, especially in the Basque Country, where they have become an icon.
This bar, located behind the Buen Pastor Cathedral, was at that time a wine office where Blas Vallés sold those that he himself made in Navarra. To accompany those wines, customers were offered olives, chilli peppers, and anchovies. But all separately. One day a customer had the idea of ​​pricking the three things on a toothpick. The skewer was already created as it has come to this day.","https://www.abc.es/viajar/gastronomia/abci-gildas-origen-poco-conocido-banderilla-mas-popular-espana-201911050300_noticia.html#:~:text=Un%20bar%20de%20San%20Sebasti%C3%A1n,gildas%3A%20aceitunas%2C%20guindillas%20y%20anchoas&text=05%2F11%2F2019%20a%20las%2003%3A00h.&text=Son%20las%20banderillas%20m%C3%A1s%20populares,convertido%20en%20todo%20un%20icono.",,,,,,,
1914,,,,,,,,,Belle Époque,"In the 1930s, at the height of the “belle époque”, Donostia-San Sebastián was one of the favourite holiday destinations for the international aristocracy. A fashionable and cosmopolitan city. Its proximity to Biarritz, being a spa town, having a railway and being a summer resort for different royal families (and their numerous entourages and companions), gave the city of Donostia a very special attraction, which leaded to better development of the gastronomy inside the city as an additional touristic attraction.",,,,,,,,
1967,,,,,,,,,The founding of the first Hotel and Catering School in the Basque Country.,"There are eleven Gipuzkoan chefs who currently hold Michelin stars: the first to obtain this precious award was Juan Mari Arzak, who obtained his first star in the distant year 1972. He was awarded his second in 1978, and he has held the third since 1989. He currently runs the restaurant with his daughter, Elena Arzak.",https://escuelairizar.com/luis-irizar/,,,,,,,
1972,,,,,,,,,The first michelin star in Donostia for Juan Mari Arzak,"A short time later, together with a group of restless Basque professionals and encouraged by their French colleagues, they formed a block that promoted the revival of Basque cuisine to modernize it and bring it on par with modern European cuisine, which was called the ""movement"" New Basque Cuisine”.

The New Basque Cuisine is a culinary current that began in 1976 in Guipúzcoa (Spain) which, inspired by some of the principles of French Nouvelle Cuisine, brought about a renewal of traditional Basque cuisine based on three principles: the recovery of traditional recipes and dishes lost; the recovery of the authenticity of the ingredients through market cuisine and the use of seasonal products; and the expansion of the traditional recipe book through creativity and innovation.1​2​

This trend initiated by a group of young chefs, mostly from Gipuzkoa, headed by Juan Mari Arzak and Pedro Subijana, was in turn the starting point for a renewal of Spanish gastronomy that, over time, has positioned it as one of the world benchmarks",https://pintxos.es/como-y-cuando-obtuvieron-sus-estrellas-michelin-los-miembros-de-nuestro-jurado/ ,,,,,,,
1976,December,,,,,,,,Nueva Cocina Vasca ,"Luis Irizar started at a very young age at the Hotel María Cristina in San Sebastián. He works as Head Chef in various national and international restaurants and hotels (Rte. Azaldegui in San Sebastián, Rte. Royal Monceau in Paris, Hilton Hotel in London, etc.).

In 1967, within the framework of the Euromar Hotel in Zarautz, he founded the first Hostelry School in the Basque Country, which produced excellent and renowned professional chefs such as Pedro Subijana, Carlos Arguiñano, Ramón Roteta, José Ramón Elizondo and many others.",https://es.wikipedia.org/wiki/Nueva_Cocina_Vasca#cite_ref-FOOTNOTECorcuera200278-79_5-0,,,,,,,
1992,,,,,,,,,Founded the Luis Irizar Cooking School,"After several years working in the Basque Country and later in Madrid, as Managing Director of the Hotel Alcalá and Owner Director of the Irizar Restaurant for years, he returned to San Sebastián to found the Luis Irizar Cooking School in 1992. Luis Irízar has always stood out for his dedication in body and soul to the professional teaching of Cooking",https://escuelairizar.com/luis-irizar/,,,,,,,
1980,,,,,,,,,The 80's boom,"José Ramón Elizondo, one of the people who best knows the world of pintxos due to his successful experience running the Aloña - Berri bar and his eagerness and interest in studying the world of gastronomy, highlights two milestones to understand the success of the pintxo since the from the 80s to the present: the incorporation of women into the bar and the development of the New Basque Cuisine at the hands of the great local chefs, whose fame and prestige are already international. ",http://www.donostiadepintxos.eus/es/historia-del-pintxo,,,,,,,
1999,November ,15,,,,,,,1º Gastronomika festival SS,"On November 15, 1999, the first Gastronomika festival took place in San Sebastián, specifically at the Palacio de Congresos de San Sebastián (Kursaal). This event marked the beginning of the Gastronomika festival as a culinary fair and gathering. Since then, Gastronomika has become an internationally renowned culinary event, attracting renowned chefs, food professionals, and enthusiasts from around the world. The festival showcases culinary demonstrations, presentations, discussions, and tastings, highlighting the gastronomic excellence of San Sebastián and promoting culinary innovation and collaboration.","https://www.sansebastiangastronomika.com/content/revista/2/#zoom=true
https://www.sansebastiangastronomika.com/
",,,,,,,
2009,,,,,,,,,Basque Culinary Center as a concept,"It was born in 2009 as a training, research and innovation project aimed at developing the gastronomic sector, with a clear international vocation and under the idea of ​​relating cooking to management, science and other disciplines.
The implementation of this gastronomic project started from several objectives. Among them, it stands out, first, the need to develop the potential of the kitchen as an innovation sector in the future, which also implies the generation of high-level knowledge and the training of qualified professionals; second, the challenge of promoting research and the transfer of knowledge between gastronomy professionals and the business and knowledge sectors directly and indirectly related to gastronomy; and, third, to achieve an international projection. From the Basque Culinary Center, other additional objectives are pursued in the field of management, such as the possibility of promoting technology transfer and innovation in companies in the sector; and the creation of new initiatives and business projects.
",https://es.wikipedia.org/wiki/Basque_Culinary_Center,,,,,,,
2011,,,,,,,,,Basque Culinary Center is made and placed  in SS,"The Basque Culinary Center (BCC) is an internationally recognized institution dedicated to culinary education, research, and innovation. It is located in San Sebastián, in the Basque Country region of Spain. The BCC was established in 2011 and has since become a prominent hub for culinary excellence. The Basque Culinary Center offers degree programs in Gastronomy and Culinary Arts, as well as specialized master's degrees and postgraduate courses. It collaborates closely with renowned chefs, experts, and institutions from around the world to promote gastronomic innovation and foster talent in the culinary field. The BCC's facilities include state-of-the-art kitchens, research laboratories, sensory analysis rooms, and a restaurant where students can gain practical experience. Additionally, the center hosts international events, conferences, and competitions related to gastronomy, further enhancing its reputation as a global culinary hub. The establishment of the Basque Culinary Center has significantly contributed to the culinary culture and reputation of San Sebastián, solidifying its status as a leading destination for food enthusiasts and professionals alike.",,,,,,,,
2019,,,,,,,,,Martín Berasategui forth michelin star,"Martín Berasategui is a renowned Spanish chef born on April 27, 1960, in San Sebastián, Spain. He is widely regarded as one of the most influential and successful chefs in the world. Berasategui is known for his innovative and creative approach to Basque cuisine. He gained international recognition for his restaurant, Restaurante Martín Berasategui, located in Lasarte-Oria, Spain. The restaurant has been awarded three Michelin stars, making it one of the most distinguished dining establishments globally. Berasategui's culinary style combines traditional Basque flavors with modern techniques and presentations. He is known for his meticulous attention to detail and the use of high-quality ingredients. Besides his flagship restaurant, Berasategui operates several other successful establishments both in Spain and abroad. Throughout his career, Martín Berasategui has received numerous accolades and honours, including being named the Best Chef in the World in 2018 by The Best Chef Awards. His contributions to the culinary world have made him a highly respected figure in the industry.",,,,,,,,
2022,April ,7,,,,,,,"The Times"" chooses San Sebastian as the best gastronomic destination in the world","The British newspaper 'The Times' has published a list in which San Sebastián is at the forefront of the “ best gastronomic getaways in the world ”. A new recognition for a city that was recently chosen by National Geographic as one of the 19 most romantic cities in the world for its landscapes, its charm and, of course, its gastronomy. The publication proposes everything from enjoying the bars full of pintxos in the Old Town to eating at one of the many Michelin-starred restaurants in the city. ""Sooner rather than later you will realize that Donostia deserves its reputation as the best city for foodies ,"" she warns.",https://www.niusdiario.es/espana/euskadi/diario-britanico-the-times-elige-san-sebastian-mejor-destino-gastronomico-mundo_18_3310399187.html,,,,,,,
