startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Evolution of Polution,Important Events in the History of Climate Change Politics,,,,,title,,,
1859,2,19,,1927,10,2,,,Svante Arrhenius,"Svante Arrhenius was a Swedish Scientist, he was referred to as a chemist and was one of the founders of the science of physical chemistry. In 1896, made the first climate model that measured the influence of atmospheric carbon dioxide. ",https://upload.wikimedia.org/wikipedia/commons/6/6c/Arrhenius2.jpg,,Svante Arrhenius,https://upload.wikimedia.org/wikipedia/commons/6/6c/Arrhenius2.jpg,jpg,,,
1931,,,,,,,,,Guy Callendar discovers that the planet is warming,"In 1938, steam engineer Callendar decided to take a break from his day job and began painstakingly collecting records from 147 weather stations across the world. Doing all his calculations by hand, he discovered that global temperatures had risen 0.3°C over the previous 50 years.",https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/GSCallendar1934.jpg/220px-GSCallendar1934.jpg,,Guy Callendar,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/GSCallendar1934.jpg/220px-GSCallendar1934.jpg,jpg,,,
1968,,,,,,,,,Prediction of melting of the ice caps,"In 1968, Dr Mercer was conducting fieldwork at the Reedy Glacier in West Antarctica when he discovered evidence of a former freshwater lake, 1,400 metres high up in the Transantarctic Mountains. In his study, Dr Mercer called the West Antarctic Ice Sheet a 'uniquely vulnerable and unstable body of ice'. He warned that current atmospheric warming could once more cause the ice shelves to disintegrate, causing a sea level rise of about five metres. ",https://byrd.osu.edu/sites/default/files/styles/50/public/2023-04/picture3.jpg?itok=Hn-fux53,,John H. Mercer,https://byrd.osu.edu/sites/default/files/styles/50/public/2023-04/picture3.jpg?itok=Hn-fux53,jpg,,,
1972,6,5,,1972,6,16,,,United Nations Conference on the Human Environment,"The United Nations Conference on the Human Environment (also known as the Stockholm Conference) was an international conference from the United Nations held in Stockholm, Sweden from June 5-16, 1972. It was the UN's first major conference on international environmental issues, and marked a the beginning of international environmental politics.",https://cdn.chinadialogue.net/content/uploads/2021/09/22095637/the-opening-of-the-UN-Conference-on-the-Human-Environment-Stockholm-June-1972.jpg,UN Photo/Yutaka Nagata ,The United Nations Conference on the Human Environment ,https://cdn.chinadialogue.net/content/uploads/2021/09/22095637/the-opening-of-the-UN-Conference-on-the-Human-Environment-Stockholm-June-1972.jpg,jpg,,,
1979,2,12,,1979,2,23,,,First World Climate Conference,"The idea of the human-made climate chrisis was not widely spread when delegates gathered in Geneva, Switzerland from February 12-23, 1979, for the first World Climate Conference. The efforts of some concerned scientists sparked the initiative for a global climate program, but it did not achieve the desired success.",https://www.wcrp-climate.org/images/AGU2019/WCC-1-79-plenary2.png,wcrp-climate.org,The beginning of World Climate Conferences in Geneva,https://www.wcrp-climate.org/images/AGU2019/WCC-1-79-plenary2.png,png,,,
1987,9,16,,,,,,,The Montreal Protocol,"The Montreal Protocol is an international treaty adopted on September 16, 1987, in Montreal, Canada. It was introduced to regulate the production and consumption of approximately 100 human-made chemicals that pose a threat to the ozone layer. The protocol, with nearly 200 signatories, is recognized as a model of global cooperation in addressing the issue of ozone depletion. It is the result of extensive scientific study, negotiations among representatives of business and environmental communities, and international consensus on the need to protect the ozone layer.




",https://blogs.worldbank.org/sites/default/files/meetings/ozone-hole-nasa2-1979-2008-480.jpg,Worldbank,The development of the ozone-layer,https://blogs.worldbank.org/sites/default/files/meetings/ozone-hole-nasa2-1979-2008-480.jpg,jpg,,,
1988,12,6,,,,,,,The Intergovernmental Panel on Climate Change (IPCC) is set up,"The Intergovernmental Panel on Climate Change (IPCC) is an authoritative scientific body operating within the United Nations. Its primary purpose is to deliver a comprehensive and objective assessment of the latest scientific understanding on climate change, including its present condition and the potential environmental and socio-economic consequences it poses. By synthesizing and communicating scientific knowledge, the IPCC plays a vital role in equipping the global community with valuable insights into the challenges and impacts of climate change.



",https://council.science/wp-content/uploads/2018/03/ipcc_history-scaled.jpg,IPCC,The Intergovernmental Panel on Climate Change was introduced ,https://council.science/wp-content/uploads/2018/03/ipcc_history-scaled.jpg,jpg,,,
1990,8,,,,,,,,The first IPCC-Report is released,"In its first assessment report the IPCC concludes that humanity's emissions are adding to the atmosphere's natural component of greenhosue gases. It underlines the importance of climate change as a challenge requiring international cooperation to tackle its consequences. The report therefore plays a decisive role in paving the way for the creation of the United Nations Framework Convention on Climate Change (UNFCCC). As of Mai 2023, there are a total of six IPCC-Reports.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Intergovernmental_Panel_on_Climate_Change_Logo.svg/2560px-Intergovernmental_Panel_on_Climate_Change_Logo.svg.png,IPCC,The IPCC releases its first report,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Intergovernmental_Panel_on_Climate_Change_Logo.svg/2560px-Intergovernmental_Panel_on_Climate_Change_Logo.svg.png,png,,,
1992,5,,,,,,,,Convention on Climate Change is adopted,For the first time binding gas emissions reduction targets are set for industrialised countries. This is due to the text of the United Nations Framework Convention on Climate Change (UNFCCC) beeing adopted at the UN-Headquarters in New York. This is the key international treaty to reduce global warming and help cope with the consequences of climate change.,https://www.kitano.com/resourcefiles/snippet-main-img/new-york-united-nations-headquarters-top.jpg?version=7152022083758,Kitano,"In the UN-Headquaters in New York, the first important Convention on Climate Change is adopted",https://www.kitano.com/resourcefiles/snippet-main-img/new-york-united-nations-headquarters-top.jpg?version=7152022083758,jpg,,,
1995,3,28,,1995,4,7,,,COP1 takes place in Berlin,"The historic first Conference of the Parties (COP1) to the United Nations Framework Convention on Climate Change (UNFCCC) was held in Berlin from March 28 to April 7, 1995. Delegates from 117 Parties and 53 observer States came together to assess the commitments made under the 1992 Convention and lay the groundwork for further implementation of its objectives. The conference aimed to address the pressing challenges posed by climate change and foster international cooperation in finding solutions. Parties agree that commitments in the Convention are ""inadequate"" for meeting Convention objectives. They establish a process for negotiating stronger commitments for developed countries, thus laying the groundwork for the Kyoto Protocol.",https://www.blue-growth.org/blue_growth_pictures/COP21_Participants_30_November_2015_Conference_Of_The_Parties_United_Nations.jpg,Climate Action Programme,Group photo at the very first COP,https://www.blue-growth.org/blue_growth_pictures/COP21_Participants_30_November_2015_Conference_Of_The_Parties_United_Nations.jpg,jpg,,,
1997,12,11,,,,,,,The Kyoto Protocol is adopted,The Kyoto Protocol is the world's first greenhouse gas emissions reduction treaty. The Protocol legally binds developed countries to emission reduction targets – an average of 5% by the period 2008-2012 with wide variations on targets for individual countries.,https://img.capital.com/imgs/glossary/800x600x1/kyoto-protocol.jpg,Capital.com,The Kyoto Protocol is a global project,https://img.capital.com/imgs/glossary/800x600x1/kyoto-protocol.jpg,jpg,,,
2005,1,1,,,,,,,The EU's Emissions Trading System is launched,"The European Union implemented its Emission Trading System (ETS) in 2005. The ETS is the world's first and largest carbon market. It sets a cap on greenhouse gas emissions from power plants, industrial facilities, and airlines, allocating emission allowances that can be traded. This market-based approach aims to incentivize emissions reductions by putting a price on carbon. The ETS has since expanded, covering more sectors and fostering innovation in clean technologies, playing a crucial role in the EU's efforts to transition to a low-carbon economy.",https://climatepolicyinfohub.eu/sites/default/files/styles/body_width_520_pix/public/principle-emissions-trading.png%3Fitok=33Z3J2QC,Energy Royd,The fundamentals of the EU's Emissions Trading System (ETS),https://climatepolicyinfohub.eu/sites/default/files/styles/body_width_520_pix/public/principle-emissions-trading.png%3Fitok=33Z3J2QC,png,,,
2007,9,18,,,,,,,The IPCC’s fourth report is released,"The report represents the largest and most detailed summary of the climate change situation ever undertaken, created with the help of thousands of contributors, both scientists and governmental representatives. The headline findings of the report were: ""Warming of the climate system is unequivocal"" and ""Most of the observed increase in global average temperatures since the mid-20th century is very likely due to the observed increase in anthropogenic greenhouse gas concentrations.""",https://www.iagua.es/sites/default/files/styles/thumbnail-830x455/public/pachauri_cambio_climatico.jpg?itok=KvxZD_K3,IPCC,The fourth IPCC report was a milestone in understanding the impact of Climate Change,https://www.iagua.es/sites/default/files/styles/thumbnail-830x455/public/pachauri_cambio_climatico.jpg?itok=KvxZD_K3,jpg,,,
